Name,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites
Seto no Hanayome OVA,OVA,2,Finished Airing,"Nov 3, 2008 to Jan 5, 2009",AIC,"None found, add some",Gonzo,Manga,"Romance, Comedy","School, Parody",30 min. per ep.,PG-13 - Teens 13 or older,"7.84 scored by 26,906 users",#795,#2608,"49,993",30
Planetarian: Hoshi no Hito,Movie,1,Finished Airing,"Sep 3, 2016",Visual Arts,Funimation,David Production,Visual novel,"Drama, Sci-Fi",,1 hr. 57 min.,PG-13 - Teens 13 or older,"7.84 scored by 13,109 users",#794,#2866,"41,784",180
New Initial D Movie: Legend 3 - Mugen,Movie,1,Finished Airing,"Feb 6, 2016","Avex Pictures, Shochiku, Kodansha, Ultra Super Pictures",Sentai Filmworks,"SANZIGEN, LIDENFILMS",Manga,,Racing,1 hr.,PG-13 - Teens 13 or older,"7.84 scored by 10,106 users",#793,#3982,"21,912",48
Michiko to Hatchin,TV,22,Finished Airing,"Oct 16, 2008 to Mar 19, 2009","Shochiku, Yomiko Advertising, Media Factory, Fuji TV",Funimation,Manglobe,Original,"Adventure, Action",,22 min. per ep.,R - 17+ (violence & profanity),"7.84 scored by 55,199 users",#792,#1072,"174,556","2,105"
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),TV,12,Finished Airing,"Jul 12, 2017 to Sep 27, 2017","Sony Music Communications, Toranoana, Kadokawa Media House, Lantis, Media Factory, Studio Hibari, AKABEiSOFT2, AT-X",Funimation,Lerche,Light novel,,"School, Psychological",24 min. per ep.,PG-13 - Teens 13 or older,"7.85 scored by 546,690 users",#791,#143,"871,199","12,553"
Seitokai Yakuindomo Movie,Movie,1,Finished Airing,"Jul 21, 2017","Glovision, KlockWorx, King Records",Sentai Filmworks,GoHands,4-koma manga,"Slice of Life, Comedy",School,1 hr.,R - 17+ (violence & profanity),"7.85 scored by 21,029 users",#790,#2549,"51,673",75
Seihou Bukyou Outlaw Star,TV,24,Finished Airing,"Jan 9, 1998 to Jun 26, 1998","Sotsu, Victor Entertainment","Bandai Entertainment, Funimation",Sunrise,Manga,"Adventure, Sci-Fi, Action, Comedy",Space,25 min. per ep.,R+ - Mild Nudity,"7.85 scored by 58,751 users",#789,#1327,"139,244","1,958"
Paradise Kiss,TV,12,Finished Airing,"Oct 14, 2005 to Dec 30, 2005","Fuji TV, Aniplex",Geneon Entertainment USA,Madhouse,Manga,"Drama, Slice of Life, Romance, Comedy",Visual Arts,24 min. per ep.,R - 17+ (violence & profanity),"7.85 scored by 84,909 users",#788,#1002,"188,906","3,479"
Non Non Biyori Repeat: Hotaru ga Tanoshinda,OVA,1,Finished Airing,"Sep 23, 2016","None found, add some","None found, add some",SILVER LINK.,Manga,"Slice of Life, Comedy","Iyashikei, CGDCT, School",24 min.,PG-13 - Teens 13 or older,"7.85 scored by 21,248 users",#787,#2822,"42,697",33
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,OVA,1,Finished Airing,"Jun 24, 2016",Half H.P Studio,Discotek Media,Studio Deen,Light novel,"Adventure, Supernatural, Fantasy, Comedy","Reincarnation, Isekai",23 min.,PG-13 - Teens 13 or older,"7.85 scored by 225,039 users",#786,#526,"346,026",584
K-On!,TV,13,Finished Airing,"Apr 3, 2009 to Jun 26, 2009","TBS, Rakuonsha, Animation Do, Pony Canyon, Movic","Bandai Entertainment, Sentai Filmworks",Kyoto Animation,4-koma manga,"Slice of Life, Comedy","School, CGDCT, Music",24 min. per ep.,PG-13 - Teens 13 or older,"7.85 scored by 513,283 users",#785,#123,"933,003","21,369"
Jibaku Shounen Hanako-kun,TV,12,Finished Airing,"Jan 10, 2020 to Mar 27, 2020","TBS, Contents Seed, Square Enix, Pony Canyon, Studio Hibari, Half H.P Studio",Funimation,Lerche,Manga,"Supernatural, Comedy",School,24 min. per ep.,PG-13 - Teens 13 or older,"7.85 scored by 226,629 users",#784,#375,"465,458","9,692"
InuYasha,TV,167,Finished Airing,"Oct 16, 2000 to Sep 13, 2004","Yomiuri Telecasting, Shogakukan",VIZ Media,Sunrise,Manga,"Adventure, Romance, Action, Fantasy, Supernatural, Comedy","Time Travel, Mythology, Historical",24 min. per ep.,PG-13 - Teens 13 or older,"7.85 scored by 350,506 users",#783,#220,"699,211","16,341"
Hoozuki no Reitetsu 2nd Season: Sono Ni,TV,13,Finished Airing,"Apr 8, 2018 to Jul 1, 2018","None found, add some",Sentai Filmworks,Studio Deen,Manga,"Supernatural, Fantasy, Comedy",Mythology,23 min. per ep.,PG-13 - Teens 13 or older,"7.85 scored by 10,311 users",#782,#3719,"25,304",42
Dramaturgy,Music,1,Finished Airing,"Oct 10, 2017","None found, add some","None found, add some","None found, add some",Original,,Music,4 min.,G - All Ages,"7.85 scored by 2,831 users",#781,#7694,"4,294",31
Detective Conan Movie 01: The Timed Skyscraper,Movie,1,Finished Airing,"Apr 19, 1997","Shogakukan-Shueisha Productions, YTV",Funimation,TMS Entertainment,Manga,"Adventure, Mystery, Comedy",Detective,1 hr. 34 min.,PG-13 - Teens 13 or older,"7.85 scored by 39,791 users",#780,#2285,"63,160",77
Vivy: Fluorite Eye's Song,TV,13,Finished Airing,"Apr 3, 2021 to Jun 19, 2021",Aniplex,Aniplex of America,Wit Studio,Original,"Sci-Fi, Action, Suspense","Time Travel, Music",24 min. per ep.,R - 17+ (violence & profanity),"8.46 scored by 177,238 users",#133,#445,"400,309","8,273"
Detective Conan Movie 07: Crossroad in the Ancient Capital,Movie,1,Finished Airing,"Apr 19, 2003","None found, add some","None found, add some",TMS Entertainment,Manga,"Adventure, Mystery, Comedy",Detective,1 hr. 48 min.,PG-13 - Teens 13 or older,"7.81 scored by 27,456 users",#850,#2717,"45,947",29
Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,Movie,1,Finished Airing,"Apr 21, 2001","Asatsu DK, TV Asahi","None found, add some",Shin-Ei Animation,Manga,"Sci-Fi, Comedy",,1 hr. 29 min.,G - All Ages,"7.81 scored by 4,358 users",#849,#6026,"7,949",73
Coquelicot-zaka kara,Movie,1,Finished Airing,"Jul 16, 2011",Nippon Television Network,GKIDS,Studio Ghibli,Manga,,"School, Historical",1 hr. 35 min.,G - All Ages,"7.81 scored by 96,055 users",#848,#1153,"163,792",918
City Hunter 3,TV,13,Finished Airing,"Oct 15, 1989 to Jan 21, 1990","None found, add some","ADV Films, Discotek Media",Sunrise,Manga,"Mystery, Action, Comedy",,24 min. per ep.,PG-13 - Teens 13 or older,"7.81 scored by 7,754 users",#847,#4333,"18,111",45
Aria the Crepuscolo,Movie,1,Finished Airing,"Mar 5, 2021",Shochiku,"None found, add some",J.C.Staff,Manga,"Slice of Life, Sci-Fi, Fantasy",Iyashikei,1 hr.,PG-13 - Teens 13 or older,"7.81 scored by 2,036 users",#846,#5735,"8,951",29
Maria-sama ga Miteru 3rd,OVA,5,Finished Airing,"Dec 29, 2006 to Jul 25, 2007","None found, add some",Nozomi Entertainment,Studio Deen,Light novel,"Drama, Slice of Life, Girls Love",School,50 min. per ep.,PG-13 - Teens 13 or older,"7.82 scored by 9,522 users",#845,#4095,"20,457",84
Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi,OVA,3,Currently Airing,"Sep 10, 2021 to Sep 10, 2022","flying DOG, Twin Engine, Mag Garden, Sound Team Don Juan","None found, add some",Studio Kafka,Manga,"Slice of Life, Fantasy",,22 min. per ep.,PG-13 - Teens 13 or older,"7.82 scored by 2,153 users",#844,#2744,"45,079",299
Lupin the IIIrd: Jigen Daisuke no Bohyou,Movie,1,Finished Airing,"Jun 21, 2014","TMS Music, TMS Entertainment",Discotek Media,Telecom Animation Film,Manga,"Adventure, Action, Drama",Adult Cast,51 min.,R+ - Mild Nudity,"7.82 scored by 11,605 users",#843,#3751,"24,891",75
Kuroko no Basket: Tip Off,Special,1,Finished Airing,"Feb 22, 2013","Bandai Visual, Lantis","None found, add some",Production I.G,Manga,"Sports, Comedy","School, Team Sports",25 min.,PG-13 - Teens 13 or older,"7.82 scored by 51,348 users",#842,#1780,"93,451",78
Kekkai Sensen & Beyond,TV,12,Finished Airing,"Oct 8, 2017 to Dec 24, 2017","Shueisha, Nihon Ad Systems, TOHO animation, Mainichi Broadcasting System",Funimation,Bones,Manga,"Supernatural, Action, Fantasy, Comedy","Super Power, Vampire",24 min. per ep.,R - 17+ (violence & profanity),"7.82 scored by 169,608 users",#841,#481,"374,967","1,464"
Jungle wa Itsumo Hare nochi Guu,TV,26,Finished Airing,"Apr 3, 2001 to Sep 25, 2001","Bandai Visual, Sotsu","Funimation, AN Entertainment",Shin-Ei Animation,Manga,"Slice of Life, Comedy","School, Gag Humor",23 min. per ep.,PG-13 - Teens 13 or older,"7.82 scored by 13,619 users",#840,#3329,"31,656",375
Jormungand,TV,12,Finished Airing,"Apr 11, 2012 to Jun 27, 2012","Shogakukan-Shueisha Productions, Geneon Universal Entertainment",Funimation,White Fox,Manga,"Adventure, Action",Organized Crime,24 min. per ep.,R+ - Mild Nudity,"7.82 scored by 136,666 users",#839,#593,"311,662","2,677"
Hidamari Sketch x ☆☆☆ Specials,Special,2,Finished Airing,"Oct 23, 2010 to Oct 30, 2010","Houbunsha, TBS, Lantis, Movic, Aniplex",Sentai Filmworks,Shaft,4-koma manga,"Slice of Life, Comedy","Iyashikei, CGDCT, Visual Arts, School",24 min. per ep.,PG-13 - Teens 13 or older,"7.82 scored by 6,836 users",#838,#4833,"13,692",8
Haikyuu!! Riku vs. Kuu,OVA,2,Finished Airing,"Jan 22, 2020","Dentsu, Mainichi Broadcasting System, Movic, TOHO animation, Sony Music Entertainment, Shueisha",Sentai Filmworks,Production I.G,Manga,"Drama, Sports, Comedy","School, Team Sports",22 min. per ep.,PG-13 - Teens 13 or older,"7.82 scored by 139,662 users",#837,#800,"240,171",513
Bungou Stray Dogs,TV,12,Finished Airing,"Apr 7, 2016 to Jun 23, 2016","Bandai Namco Live Creative, KlockWorx, Lantis, Glovision, Movic, Sony PCL, Lawson HMV Entertainment","Crunchyroll, Funimation",Bones,Manga,"Mystery, Supernatural, Action, Comedy",Super Power,23 min. per ep.,R - 17+ (violence & profanity),"7.82 scored by 563,098 users",#836,#92,"1,109,337","21,189"
Break Blade 5: Shisen no Hate,Movie,1,Finished Airing,"Jan 22, 2011",KlockWorx,Sentai Filmworks,"Production I.G, Xebec",Manga,"Action, Fantasy","Adult Cast, Mecha, Military",47 min.,R - 17+ (violence & profanity),"7.82 scored by 32,462 users",#835,#2515,"53,428",27
Baby Steps,TV,25,Finished Airing,"Apr 6, 2014 to Sep 21, 2014",NHK,"None found, add some",Studio Pierrot,Manga,"Sports, Romance",School,24 min. per ep.,PG-13 - Teens 13 or older,"7.82 scored by 69,373 users",#834,#1342,"136,182",809
Akebi-chan no Sailor-fuku,TV,12,Finished Airing,"Jan 9, 2022 to Mar 27, 2022",Aniplex,"None found, add some",CloverWorks,Manga,,School,23 min. per ep.,PG-13 - Teens 13 or older,"7.82 scored by 30,396 users",#833,#1564,"111,000",705
Akachan to Boku,TV,35,Finished Airing,"Jul 11, 1996 to Mar 26, 1997","Youmex, Yomiuri Advertising, TV Tokyo","None found, add some",Studio Pierrot,Manga,"Drama, Comedy",Childcare,25 min. per ep.,G - All Ages,"7.82 scored by 7,636 users",#832,#4123,"20,057",136
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,Movie,1,Finished Airing,"Apr 15, 2017",Pony Canyon,"None found, add some",Studio Gokumi,Light novel,"Drama, Slice of Life, Fantasy",,47 min.,PG-13 - Teens 13 or older,"7.82 scored by 4,764 users",#831,#4928,"13,020",21
Mushoku Tensei: Isekai Ittara Honki Dasu,TV,11,Finished Airing,"Jan 11, 2021 to Mar 22, 2021","Kadokawa, GREE, Egg Firm, Hakuhodo DY Music & Pictures, TOHO animation, Frontier Works, Toho Music, BS11",Funimation,Studio Bind,Light novel,"Drama, Ecchi, Fantasy","Reincarnation, Isekai",23 min. per ep.,R - 17+ (violence & profanity),"8.37 scored by 534,503 users",#184,#140,"885,533","20,674"
Yuru Yuri Nachuyachumi!+,Special,2,Finished Airing,"Aug 21, 2015 to Sep 18, 2015","None found, add some","None found, add some",TYO Animations,Manga,"Slice of Life, Girls Love, Comedy","CGDCT, Gag Humor",24 min. per ep.,PG-13 - Teens 13 or older,"7.78 scored by 26,435 users",#900,#2606,"50,011",82
Tiger & Bunny Movie 2: The Rising,Movie,1,Finished Airing,"Feb 8, 2014","None found, add some",VIZ Media,Sunrise,Original,"Mystery, Action, Comedy","Super Power, Adult Cast",1 hr. 40 min.,PG-13 - Teens 13 or older,"7.78 scored by 10,541 users",#899,#3631,"26,771",46
The Last: Naruto the Movie,Movie,1,Finished Airing,"Dec 6, 2014","Shueisha, TV Tokyo",VIZ Media,Studio Pierrot,Manga,"Romance, Action","Super Power, Martial Arts",1 hr. 52 min.,PG-13 - Teens 13 or older,"7.78 scored by 336,782 users",#898,#348,"500,816","1,782"
The Everlasting Guilty Crown,Music,1,Finished Airing,"Mar 7, 2012","Carp Studio, Sony Music Entertainment","None found, add some","None found, add some",Unknown,,Music,1 min.,G - All Ages,"7.78 scored by 16,121 users",#897,#3278,"32,934",73
Taishou Otome Otogibanashi,TV,12,Finished Airing,"Oct 9, 2021 to Dec 25, 2021","Pony Canyon, Bit grooove promotion",Funimation,SynergySP,Manga,"Slice of Life, Romance, Comedy",Historical,23 min. per ep.,PG-13 - Teens 13 or older,"7.78 scored by 37,211 users",#896,#1779,"93,545",828
Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,Movie,1,Finished Airing,"Jan 13, 2018","Dentsu, Production I.G, Pony Canyon Enterprise, Pony Canyon, Kodansha, Mainichi Broadcasting System",Funimation,Wit Studio,Manga,"Drama, Action, Fantasy","Gore, Survival, Super Power",2 hr.,R - 17+ (violence & profanity),"7.78 scored by 15,715 users",#895,#2470,"55,416",76
Shiki Specials,Special,2,Finished Airing,"May 25, 2011 to Jun 22, 2011",Aniplex,Funimation,Daume,Light novel,"Horror, Mystery, Supernatural, Suspense","Psychological, Vampire",23 min. per ep.,R - 17+ (violence & profanity),"7.78 scored by 37,141 users",#894,#2240,"65,276",75
Saenai Heroine no Sodatekata ♭,TV,11,Finished Airing,"Apr 14, 2017 to Jun 23, 2017","Dentsu, Kansai Telecasting, Good Smile Company, Fuji TV, Aniplex, Fujimi Shobo, Cospa","None found, add some",A-1 Pictures,Light novel,"Ecchi, Romance, Comedy","School, Harem, Otaku Culture",22 min. per ep.,PG-13 - Teens 13 or older,"7.78 scored by 160,650 users",#893,#585,"313,113","1,567"
New Initial D Movie: Legend 2 - Tousou,Movie,1,Finished Airing,"May 23, 2015","Ultra Super Pictures, Avex Pictures, Shochiku, Kodansha, Sammy",Sentai Filmworks,"SANZIGEN, LIDENFILMS",Manga,,Racing,1 hr.,PG-13 - Teens 13 or older,"7.78 scored by 11,805 users",#892,#3812,"24,179",40
Mind Game,Movie,1,Finished Airing,"Aug 7, 2004",Beyond C.,GKIDS,Studio 4°C,Manga,"Adventure, Avant Garde, Romance, Comedy","Adult Cast, Psychological",1 hr. 43 min.,R - 17+ (violence & profanity),"7.78 scored by 27,305 users",#891,#2143,"70,298",904
Seitokai Yakuindomo Movie 2,Movie,1,Finished Airing,"Jan 1, 2021","Glovision, King Records",Sentai Filmworks,GoHands,4-koma manga,"Slice of Life, Comedy",School,1 hr. 20 min.,R - 17+ (violence & profanity),"7.79 scored by 5,385 users",#890,#3770,"24,633",51
Saiyuuki Reload: Burial,OVA,3,Finished Airing,"Apr 28, 2007 to Mar 28, 2008",Dentsu,"None found, add some",Studio Pierrot,Manga,"Adventure, Action, Fantasy, Drama",Mythology,33 min. per ep.,PG-13 - Teens 13 or older,"7.79 scored by 4,239 users",#889,#5055,"12,328",47
Lupin III: Part II,TV,155,Finished Airing,"Oct 3, 1977 to Oct 6, 1980","Animax, Studio Jack, VAP","Geneon Entertainment USA, Discotek Media",Tokyo Movie Shinsha,Manga,"Adventure, Mystery, Action, Comedy",Adult Cast,25 min. per ep.,PG-13 - Teens 13 or older,"7.79 scored by 10,383 users",#888,#3413,"30,150",292
Grisaia no Rakuen,TV,10,Finished Airing,"Apr 19, 2015 to Jun 21, 2015","i0+, Front Wing, Bushiroad, Frontier Works, AT-X, NBCUniversal Entertainment Japan",Sentai Filmworks,8bit,Visual novel,"Drama, Romance","Psychological, Harem",23 min. per ep.,R - 17+ (violence & profanity),"7.79 scored by 201,561 users",#887,#491,"366,617","1,995"
Gochuumon wa Usagi Desu ka??: Dear My Sister,Movie,1,Finished Airing,"Nov 11, 2017",Showgate,"None found, add some",production doA,4-koma manga,"Slice of Life, Comedy","Iyashikei, CGDCT, Workplace",59 min.,PG-13 - Teens 13 or older,"7.79 scored by 14,756 users",#886,#3095,"36,402",119
Detective Conan Movie 12: Full Score of Fear,Movie,1,Finished Airing,"Apr 19, 2008","Big Bang, Tokyo Movie Shinsha, Shogakukan-Shueisha Productions","None found, add some",TMS Entertainment,Manga,"Adventure, Mystery, Comedy",Detective,1 hr. 56 min.,PG-13 - Teens 13 or older,"7.79 scored by 24,386 users",#885,#2863,"41,843",17
Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,OVA,1,Finished Airing,"Jul 24, 2009","None found, add some","None found, add some",Sunrise,Original,,"Super Power, Mecha, Military",1 hr. 56 min.,R - 17+ (violence & profanity),"7.79 scored by 16,700 users",#884,#2755,"44,695",78
Break Blade 3: Kyoujin no Ato,Movie,1,Finished Airing,"Sep 25, 2010",KlockWorx,Sentai Filmworks,"Production I.G, Xebec",Manga,"Action, Fantasy","Adult Cast, Mecha, Military",47 min.,R - 17+ (violence & profanity),"7.79 scored by 34,745 users",#883,#2442,"56,737",27
Lucky☆Star: Original na Visual to Animation,OVA,1,Finished Airing,"Sep 26, 2008","Kadokawa Shoten, Movic, KlockWorx","Bandai Entertainment, Funimation",Kyoto Animation,4-koma manga,"Slice of Life, Comedy","School, CGDCT, Parody",42 min.,PG-13 - Teens 13 or older,"7.80 scored by 73,200 users",#882,#1438,"124,067",195
Last Exile,TV,26,Finished Airing,"Apr 8, 2003 to Sep 30, 2003","TV Tokyo Music, GDH, Victor Entertainment","Funimation, Geneon Entertainment USA",Gonzo,Original,"Adventure, Sci-Fi, Action",,24 min. per ep.,PG-13 - Teens 13 or older,"7.80 scored by 67,544 users",#881,#1179,"160,835","1,742"
Kubikiri Cycle: Aoiro Savant to Zaregototsukai,OVA,8,Finished Airing,"Oct 26, 2016 to Sep 27, 2017","Kodansha, Aniplex","None found, add some",Shaft,Light novel,"Drama, Mystery, Supernatural, Action",,30 min. per ep.,R - 17+ (violence & profanity),"7.80 scored by 28,567 users",#880,#1801,"92,202",774
Kara no Kyoukai 2: Satsujin Kousatsu (Zen),Movie,1,Finished Airing,"Dec 29, 2007",Notes,Aniplex of America,ufotable,Light novel,"Romance, Action, Suspense, Mystery, Supernatural",,1 hr.,R - 17+ (violence & profanity),"7.80 scored by 134,764 users",#879,#878,"217,967",422
Kageki Shoujo!!,TV,13,Finished Airing,"Jul 4, 2021 to Sep 26, 2021","Hakusensha, King Records",Funimation,Pine Jam,Manga,,"Performing Arts, School",24 min. per ep.,PG-13 - Teens 13 or older,"7.80 scored by 19,566 users",#878,#2294,"62,616",406
Jungle wa Itsumo Hare nochi Guu Deluxe,OVA,6,Finished Airing,"Aug 25, 2002 to Jan 25, 2003",Bandai Visual,"Funimation, AN Entertainment",Shin-Ei Animation,Manga,"Slice of Life, Comedy",Gag Humor,26 min. per ep.,PG-13 - Teens 13 or older,"7.80 scored by 6,484 users",#877,#5149,"11,717",22
InuYasha Movie 3: Tenka Hadou no Ken,Movie,1,Finished Airing,"Dec 20, 2003",Kyoto Animation,VIZ Media,Sunrise,Manga,"Drama, Adventure, Romance, Action, Fantasy, Supernatural, Comedy","Time Travel, Mythology, Historical",1 hr. 38 min.,PG-13 - Teens 13 or older,"7.80 scored by 49,508 users",#876,#1807,"91,750",183
Innocence,Movie,1,Finished Airing,"Mar 6, 2004","Dentsu, Kodansha, Bandai Visual, d-rights, Nippon Television Network, Tokuma Shoten","Bandai Entertainment, Funimation, DreamWorks",Production I.G,Manga,,"Psychological, Mecha, Detective, Adult Cast, Military",1 hr. 39 min.,R - 17+ (violence & profanity),"7.80 scored by 80,551 users",#875,#1274,"146,053",881
High Score Girl,TV,12,Finished Airing,"Jul 14, 2018 to Sep 29, 2018","KlockWorx, Good Smile Company, Square Enix, Warner Bros. Japan",Netflix,J.C.Staff,Manga,,"Video Game, School, Love Polygon, Romantic Subtext",24 min. per ep.,PG-13 - Teens 13 or older,"7.80 scored by 114,877 users",#874,#871,"219,957","2,407"
Gochuumon wa Usagi Desu ka??,TV,12,Finished Airing,"Oct 10, 2015 to Dec 26, 2015","Houbunsha, i0+, RAY, Magic Capsule, NBCUniversal Entertainment Japan, Hakuhodo DY Music & Pictures, Bushiroad, Frontier Works, AT-X, Showgate",Sentai Filmworks,"White Fox, Kinema Citrus",4-koma manga,"Slice of Life, Comedy","Iyashikei, CGDCT, Workplace",23 min. per ep.,PG-13 - Teens 13 or older,"7.80 scored by 53,214 users",#873,#1507,"116,069",821
Beck,TV,26,Finished Airing,"Oct 7, 2004 to Mar 31, 2005","Marvelous, Asatsu DK, Kodansha, Starchild Records",Funimation,Madhouse,Manga,"Drama, Slice of Life, Comedy",Music,25 min. per ep.,R - 17+ (violence & profanity),"8.30 scored by 128,328 users",#233,#630,"299,339","7,542"
Hibike! Euphonium Movie 3: Chikai no Finale,Movie,1,Finished Airing,"Apr 19, 2019","Shochiku, Heart Company, Lantis",Eleven Arts,Kyoto Animation,Novel,,"Performing Arts, School, Music",1 hr. 41 min.,PG-13 - Teens 13 or older,"7.76 scored by 21,052 users",#950,#2542,"52,274",129
